[93013133, 79078986, 20365635, 126967462]
[93013133, 79078986, 27477927, 85043021, 63256166]
[93013133, 79078986, 20365635, 126967462, 57521005]
[93013133, 79078986, 27477927, 151118393, 179513363]
[93013133, 79078986, 20365635, 126967462, 69059414]
[93013133, 79078986, 20365635, 126967462, 146942923]
[93013133, 79078986, 20365635, 126302347, 94968816]
[206045465, 237134557, 150819137, 109197033, 209093690]
[93013133, 79078986, 20365635, 126302347, 77565195]
[93013133, 79078986, 20365635, 126302347, 14720845]
[93013133, 79078986, 27477927, 146897913, 212006248]
[93013133, 79078986, 20365635, 126302347, 240009055]
[206045465, 25751687, 125958478, 78296307, 42128538]
[206045465, 25751687, 125958478, 78296307, 145787454]
[93013133, 79078986, 27477927, 85043021, 233503808]
[206045465, 237134557, 98501963, 193035196, 32843820]
[93013133, 79078986, 27477927, 146897913, 200718969]
[206045465, 237134557, 98501963, 86152474]
[206045465, 25751687, 125958478, 78296307, 91685093]
[93013133, 79078986, 27477927, 146897913, 197459435]
[206045465, 237134557, 98501963, 193035196, 116822453]
[93013133, 79078986, 27477927, 151118393, 49800510]
[93013133, 79078986, 27477927, 151118393, 119498709]
[93013133, 79078986, 20365635, 126302347, 150127968]
[206045465, 25751687, 125958478, 194460356, 237009761]
[206045465, 237134557, 98501963, 193035196, 230686855]
[206045465, 25751687, 125958478, 194460356, 41134419]
[206045465, 237134557, 98501963, 193035196, 75280065]
[93013133, 79078986, 27477927, 151118393, 49173437]
[93013133, 79078986, 27477927, 146897913, 69731462]
[93013133, 79078986, 20365635, 126967462, 235779974]
[93013133, 79078986, 20365635, 126302347, 45673058]
[93013133, 79078986, 27477927, 85043021, 178311542]
[93013133, 79078986, 27477927, 151118393, 22478145]
[206045465, 237134557, 150819137, 109197033, 217890081]
[206045465, 237134557, 98501963, 193035196, 240559147]
[206045465, 25751687, 125958478, 194460356, 195143868]
[93013133, 79078986, 27477927, 146897913, 136595562]
[206045465, 237134557, 98501963, 70860828]
[93013133, 79078986, 27477927, 146897913, 174434607]
[206045465, 237134557, 150819137, 109197033, 58537696]
[206045465, 237134557, 98501963, 193035196, 27260355]
[206045465, 237134557, 98501963, 193035196, 219122039]
[93013133, 79078986, 20365635, 126302347, 132261364]
[93013133, 79078986, 27477927, 146897913, 153302706]
[93013133, 79078986, 20365635, 126967462, 30594904]
[93013133, 79078986, 27477927, 151118393, 36997144]
[206045465, 237134557, 150819137, 109197033, 97348423]
[206045465, 237134557, 150819137, 109197033, 228145794]
[93013133, 79078986, 27477927, 151118393, 115168123]
[206045465, 237134557, 98501963, 812868]
[206045465, 25751687, 125958478, 194460356, 24620794]
[93013133, 79078986, 20365635, 126967462, 73188733]
[93013133, 79078986, 27477927, 146897913, 156089713]
[206045465, 237134557, 98501963, 193035196, 246918605]
[206045465, 25751687, 125958478, 194460356, 186211467]
[93013133, 79078986, 20365635, 126967462, 109165689]
[93013133, 79078986, 27477927, 151118393, 136031518]
[93013133, 79078986, 27477927, 85043021, 84753624]
[93013133, 79078986, 27477927, 146897913, 161804794]
[93013133, 79078986, 20365635, 126967462, 240713946]
[206045465, 237134557, 98501963, 182861749]
[93013133, 79078986, 20365635, 126967462, 36685685]
[93013133, 79078986, 20365635, 126967462, 208775233]
[206045465, 237134557, 150819137, 109197033, 1203708]
[206045465, 237134557, 150819137, 109197033, 80326637]
[93013133, 79078986, 27477927, 146897913, 69374126]
[206045465, 237134557, 98501963, 193035196, 159229420]
[93013133, 79078986, 20365635, 126967462, 232137181]
[93013133, 79078986, 27477927, 146897913, 217400845]
[93013133, 79078986, 27477927, 151118393, 150574578]
[93013133, 79078986, 20365635, 126302347, 241580443]
[93013133, 79078986, 20365635, 126302347, 117762549]
[93013133, 79078986, 27477927, 151118393, 169099070]
[93013133, 79078986, 27477927, 151118393, 18185002]
[206045465, 237134557, 98501963, 193035196, 184635060]
[93013133, 79078986, 27477927, 146897913, 198469746]
[93013133, 79078986, 20365635, 126302347, 141716997]
[93013133, 79078986, 27477927, 146897913, 211949198]
[206045465, 25751687, 125958478, 78296307, 12832020]
[206045465, 25751687, 125958478, 78296307, 116649552]
[206045465, 237134557, 98501963, 344287]
[206045465, 25751687, 125958478, 78296307, 66308298]
[93013133, 79078986, 20365635, 126967462, 179682725]
[93013133, 79078986, 27477927, 151118393, 112790185]
[93013133, 79078986, 27477927, 146897913, 124861330]
[206045465, 237134557, 98501963, 152898846]
