[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 97770307, 148322777, 40290812, 53317582]
[231488027, 32101784, 127865537, 154034083, 126137750, 220865562, 189830705, 81753196, 178855344, 24466871, 26016629]
[211804832, 138574305, 94342188, 23325149, 239267654, 54424579, 57522084, 108462456, 100851516, 126171258, 201048634]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 46540, 37995856, 38728603, 68648166]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 49100722, 187503507, 160309160, 20323305, 226696395]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 111214862, 205069145, 156412364, 76305146, 26599980]
[139407978, 92142634, 167501510, 243494623, 150667653, 182747962, 223775285, 34251910, 172418030, 236384282, 211025554]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 229694818, 38381508, 244387890, 80332124, 130645003]
[245186357, 104175749, 170891995, 92128647, 82767641, 56698018, 158137408, 185853241, 170928190, 46603042, 111927563]
[239208748, 140345608, 11321520, 169990400, 29850833, 106466285, 222696948, 110786112, 161622522, 229256701, 146056384]
[213112826, 25516838, 152287638, 114775498, 49141311, 136289887, 91659920, 165233418, 15927, 150937792, 74391903]
[205972194, 86177255, 137657541, 146101519, 168690798, 230513638, 73131348, 81829076, 100068285, 98368195, 104026243]
[204318514, 96260484, 124198569, 82290644, 146804374, 45330786, 231514379, 155329311, 107216497, 212854002, 19320557]
[211510271, 200640855, 93455200, 97370272, 140706900, 37659594, 143885862, 38230859, 144805320, 93594100, 161331148]
[204318514, 96260484, 124198569, 210335078, 110994899, 140183186, 228894695, 119021337, 175981713, 155165121, 25658666]
[245186357, 33815929, 81317813, 149728072, 110885945, 66745182, 71658269, 55212737, 36055969, 163649583, 140379149]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 49100722, 24067438, 162784019, 30028631, 78017113]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 229694818, 60444082, 190981949, 51118178, 56890082]
[28939697, 83720688, 206122823, 229232565, 63268197, 197346838, 147264235, 122107125, 164335025, 62319709, 220610788]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 229694818, 60444082, 190981949, 192824994, 38663816]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 229694818, 38381508, 38663895, 227842205, 60373006]
[211804832, 138574305, 94342188, 23325149, 239267654, 54424579, 119097658, 144228463, 150505700, 107799532, 8995056]
[104573498, 192955018, 133710613, 172965008, 169947045, 159579203, 17621670, 124842120, 248559404, 37868304, 1964717]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 127218044, 39564896, 174235488, 156545645, 84106075]
[82212583, 193617759, 234025706, 196862795, 8436367, 66950703, 124649207, 16020084, 233171430, 18869731, 77839416]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 88958559, 219613439, 12424445, 63491562, 159538510]
[204318514, 96260484, 124198569, 82290644, 146804374, 117498001, 230623437, 227354955, 41675615, 242640917, 13022247]
