[239554898, 102907710, 132452821]
[218542507, 27686776, 57877320, 136539700, 121252202]
[245186357, 104175749, 161846456, 108563380, 101910749]
[239393237, 164714934, 246715145, 218000020, 199364600]
[154551859, 132819502, 6276547, 122802229, 182700838]
[124206638, 48607635, 217207024, 179304578, 88397682]
[121975721, 42062284, 19586029, 62150434, 154236242]
[96343362, 100486110, 213236602, 24901115, 78767254]
[205226715, 161852671, 153828978, 13352324, 129856204]
[139255779, 117323211, 86191772, 75266315, 40127837]
[197930535, 234635560, 135700399, 208435667, 4115680]
[197930535, 234635560, 228096494, 160152675, 202851591]
[112655291, 19209424, 78637201, 3582407, 3968327]
[112655291, 19209424, 201033010, 27220, 116536587]
[121975721, 107116936, 187684362, 248495945, 207377716]
[211316160, 37095821, 218824995, 2668282, 69308388]
[188932858, 200934080, 97777798, 169801301, 164186099]
[169492383, 134805362, 204695085, 79691146, 204303251]
[49431804, 246457812, 60530307, 193444107, 147071630]
[102428331, 177733082, 77412540, 237012136, 44234878]
[213112826, 25516838, 152287638, 114775498, 49141311]
[152865647, 34304426, 142969536, 174854725, 120532504]
[226962391, 114645840, 2251938, 17848164, 134672991]
[140347209, 25798347, 35216298, 21761335, 114681736]
[32676012, 195138918, 178653906, 248285279, 227104177]
[148907630, 143141347, 51124938, 61812059, 158106868]
[239393237, 164714934, 246715145, 187771445, 143541414]
[112655291, 19209424, 128847631, 39081452, 6726870]
[169313277, 113857410, 166293217, 24716354, 21977717]
[28939697, 123364048, 185338091, 38631798, 85423616]
[32676012, 39276597, 190035849, 152439496, 159881803]
[211316160, 37095821, 218824995, 195689234, 39263495]
[169492383, 134805362, 204695085, 61696065, 110666662]
[239393237, 4224218, 225686608, 210173866, 77846085]
[218542507, 210706211, 73665838, 242370252, 54360626]
[239393237, 164714934, 224904743, 27314302, 105058071]
[28939697, 123364048, 185338091, 38631798, 14030345]
[121690776, 115201947, 136745825, 178417372, 76493427]
[211316160, 37095821, 218824995, 2668282, 98029076]
[47163196, 31168336, 60807112, 55723275, 83762939]
[148907630, 54935486, 74482814, 54140942, 165248707]
[155906635, 180949973, 155674107, 99450467, 134681764]
[139255779, 117323211, 186374400, 7935869, 207928118]
[211804832, 138574305, 56455960, 132113199, 37733750]
[245186357, 56476491, 21738255, 97185163, 175878122]
[213112826, 25516838, 105566614, 57004010, 17031094]
[13886713, 59039261, 150932566, 46017208, 115483964]
[27929889, 82163150, 44886673, 32801215, 32306286]
[226962391, 159214288, 117719163, 118108727, 169846830]
[139407978, 206633498, 130022095, 143396415]
[115917063, 113950444, 190849006, 82234406, 164425865]
[49431804, 24092436, 92023561, 36526307, 128992406]
[219868898, 21390277, 239043661, 155644933, 41682843]
[152865647, 34304426, 62534149, 180961701, 202283163]
[22619776, 109555255, 163654957, 189600841, 154684825]
[10106479, 48368057, 101287106, 26137914, 144997814]
[205226715, 161852671, 65432134, 122332064, 43463097]
[245186357, 104175749, 170891995, 212154307, 66625862]
[139407978, 206633498, 21411166, 124608406]
[20195691, 76067494, 114991732, 206735211, 226884498]
[245186357, 33815929, 173663102, 146237797, 228785072]
[233481409, 223580591, 100428466, 106991947, 131603863]
[245186357, 104175749, 170891995, 92128647, 82767641]
[184452350, 117534910, 86206692, 212275701, 208750326]
[10106479, 48368057, 101287106, 26137914, 30730800]
[102428331, 177733082, 47880734, 49995446, 21069417]
[104573498, 192955018, 133710613, 172965008, 51974564]
[49431804, 246457812, 177362205, 102622165, 208510025]
[82212583, 193617759, 234025706, 196862795, 212726760]
[239554898, 102907710, 132452821, 124460660, 126077318]
[76710225, 167739046, 165438592, 16815147, 121368087]
[139407978, 2472696, 147663187, 98936838]
[160482675, 174482424, 77603558, 25733688, 184888198]
[188932858, 115146698, 241612689, 10876463, 164281659]
[139407978, 206633498, 209469094, 53875157]
[139255779, 10547589, 127972107, 113716102, 75461204]
[151970870, 105653424, 194192038, 88878768, 100115878]
[245186357, 51214878, 45978248, 155615916, 116427855]
[103795362, 77377293, 162264657, 155476762, 191747257]
[211510271, 40815467, 12295450, 74057130, 91055803]
[32676012, 43798277, 111181810, 234341394, 58931447]
[72760936, 3767875, 33619245, 132662969, 17340775]
[31297005, 54490622, 234779012, 62975425, 58718573]
[245186357, 33815929, 103613504, 133447514, 248141808]
[169313277, 46027908, 89275938, 192993033, 176458064]
[112655291, 19209424, 232522597, 80081881, 225939505]
[112655291, 19209424, 128847631, 19268358, 29785061]
[239554898, 105465088, 218365829, 203396497, 103510532]
[211316160, 37095821, 124213554, 23529484, 233206073]
[205972194, 92870195, 133973930, 166795816, 177527992]
[211510271, 46724623, 192930472, 208270295, 81120636]
[121690776, 115201947, 67731008, 121337576, 183825714]
[239554898, 105465088, 218365829, 203396497, 217698719]
[213579804, 244349371, 130584908, 125886098, 189079139]
[188932858, 200934080, 97777798, 87911841, 30028594]
[139255779, 10547589, 17697623, 184429220, 146187085]
[12733949, 207216632, 89249706, 16370982, 67743338]
[170206712, 12111425, 214226545, 247056990, 31512634]
[32676012, 195138918, 93193866, 32903994, 220167527]
[245186357, 104175749, 161846456, 102162315, 126191900]
[112655291, 19209424, 128847631, 19268358, 187186439]
[245186357, 56476491, 70478236, 78035755, 170029284]
[121975721, 42062284, 75194355, 13024942, 236893637]
[121975721, 42062284, 75194355, 13024942, 219637050]
[141361673, 162202163, 126094098, 199663624, 209016545]
[112655291, 19209424, 128847631, 16601868, 202882519]
[141361673, 162202163, 126094098, 199663624, 205582678]
[60417925, 159601639, 127365411, 16765796, 110085045]
[245186357, 33815929, 173663102, 147529995, 180037430]
[245186357, 51214878, 45978248, 68718653, 95501463]
[169492383, 134805362, 204695085, 79691146, 193098386]
[126015619, 3034421, 7944536, 177762529, 207874321]
[121975721, 42062284, 75194355, 13024942, 54895656]
[160482675, 152741116, 87144591, 29182543, 86902180]
[72760936, 3767875, 33619245, 132662969, 42248108]
[213112826, 25516838, 152287638, 224047741, 126628879]
[117485685, 174210268, 64249836, 205389107, 50256916]
