[239554898, 102907710, 132452821, 124460660, 126077318, 58415226, 87739953, 183416293, 16296426, 189946608, 46391879, 81086535, 62191267, 116093498]
[108906837, 199773189, 71402764, 29015971, 82406962, 227606238, 134560117, 76594159, 202767560, 196513856, 181690222, 208205942, 167657519, 198271165, 6177963, 179296807, 121948842]
[245186357, 104175749, 170891995, 92128647, 82767641, 20692254, 68650779, 247006775, 143704503, 119623587, 113047978, 126148054, 4309837, 195505109, 195038181, 167419237, 245060701]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 240639531, 230827673, 117102769, 30826756, 230964839, 25596578, 33688916, 80933095, 96116768, 105990386, 210763942]
[245186357, 104175749, 170891995, 212154307, 241205060, 180743962, 200110544, 136885296, 154129886, 146287691, 776295, 15186939, 202032265, 67960522, 191883864, 228708223, 32406190]
[239208748, 140345608, 11321520, 169990400, 29850833, 106466285, 65765412, 92351927, 176662417, 188676155, 1067782, 204273083, 59505872, 85193332, 244094915, 51543837, 240863924]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 88958559, 217174569, 208798388, 4044615, 78539938, 200079877, 96370362, 147284512, 79259173, 231215493, 175816210]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 102020750, 3459523, 56732812, 80674754, 174537480, 157312192, 91570951, 5582082, 116288609, 51992795]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 127218044, 39564896, 41317831, 2400805, 184619282, 181227652, 212359771, 158869313, 60147065, 237116364, 3813590]
[245186357, 51214878, 45978248, 68718653, 95501463, 18237359, 135937542, 247044871, 6300396, 138341879, 160622208, 201050474, 146939145, 119133519, 5328591, 238473661, 158114860]
[245186357, 104175749, 170891995, 92128647, 82767641, 20692254, 68650779, 17440460, 194581933, 160127400, 67079098, 221865433, 100764734, 239939510, 232915294, 174010238, 210195137]
[245186357, 104175749, 170891995, 92128647, 82767641, 56698018, 158137408, 185853241, 170928190, 46603042, 136657925, 110516675, 114865490, 37400556, 120100883, 118304313, 161539696]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 162949539, 74567286, 148320045, 243922797, 77876249, 145157568, 115517786, 240386929, 136134785, 110033127, 224603274]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 162949539, 74567286, 148320045, 243922797, 114468531, 142578475, 102722426, 200871214, 22733203, 220304655, 142988841]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 49100722, 24067438, 162784019, 82458878, 66378872, 165006052, 62202538, 37829783, 212847522, 244520387, 197835693]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 88958559, 217174569, 208798388, 4044615, 78539938, 198900667, 185182848, 90036310, 198713040, 154276392, 75097232]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 162949539, 74567286, 148320045, 243922797, 77876249, 145157568, 115517786, 229276593, 126909284, 146721883, 123310271]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 469009, 173795057, 36838292, 60263548, 80709176, 34047835, 65955399, 92830450, 154197244, 239856673, 94784453]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 213714104, 174580304, 107008245, 239931814, 3746072, 226841095, 202390126, 234341063, 102763203, 234186613]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 53476114, 32769569, 53460759, 99153214, 210419381, 202685456, 28108147, 34776125, 180633083, 213570789, 228553510]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 67579479, 227460341, 119663526, 90341988, 188316249, 26388736, 174808752, 71707283, 137023814, 97258353, 247838608]
[245186357, 104175749, 170891995, 92128647, 82767641, 20692254, 68650779, 17440460, 194581933, 160127400, 61079230, 15563529, 159570257, 79384769, 227785511, 64616522, 114201075]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 88958559, 217174569, 208798388, 4044615, 159306135, 133930625, 169819907, 115803128, 211992350, 28716776, 86735667]
[245186357, 33815929, 103613504, 131702159, 184089050, 67876529, 102057550, 27142620, 27699615, 80644228, 95715129, 175422694, 24598112, 197944917, 121377463, 23858363, 34294382]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 122650058, 111042125, 71418709, 76170207, 225593360, 90718619, 167902595, 78459980, 166577718, 145181071]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 67579479, 227460341, 119663526, 90341988, 188316249, 242913545, 203589992, 223378595, 41873840, 13033583, 51893242]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 53476114, 32769569, 53460759, 99153214, 210419381, 202685456, 28108147, 34776125, 80147683, 108227540, 228495388]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 47938141, 114341120, 184322092, 192590442, 201215327, 144101218, 185948201, 33807728, 28510212, 200032039, 144786690]
[245186357, 51214878, 45978248, 68718653, 95501463, 13860663, 193348584, 134487352, 50737853, 206837342, 52885105, 105342483, 185877984, 128772825, 8018842, 209553202, 163095929]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 469009, 173795057, 211724642, 52817125, 123833878, 177579962, 108360858, 146616770, 184853453, 112245397, 234005736]
[245186357, 51214878, 45978248, 68718653, 95501463, 18237359, 135937542, 247044871, 52542079, 210774849, 118670404, 124655419, 53773921, 6818278, 18957523, 166322562, 190751113]
[104573498, 121415770, 149472192, 187891726, 102116478, 192853830, 469009, 173795057, 211724642, 52817125, 56567394, 127633122, 183630607, 109053181, 228314987, 217652550, 162225583]
[245186357, 51214878, 45978248, 68718653, 95501463, 18237359, 135937542, 247044871, 52542079, 210774849, 118670404, 124655419, 53773921, 168040017, 203216810, 34317678, 168511073]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 49100722, 187503507, 160309160, 20323305, 95918483, 12699030, 213317875, 16760790, 177034975, 154206001, 74028748]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 162949539, 74567286, 148320045, 84581509, 78653002, 17214821, 30126581, 194477791, 49731003, 182161948, 41347913]
[204318514, 96260484, 124198569, 210335078, 110994899, 140183186, 228894695, 156400005, 113553103, 122879470, 134984963, 1258870, 67387284, 118374733, 108046572, 13155555, 34900469]
[82212583, 193617759, 234025706, 141485732, 2507358, 21408970, 127218044, 39564896, 41317831, 2400805, 184619282, 181227652, 212359771, 158869313, 60147065, 44735144, 143454514]
