[139407978, 206633498, 21411166, 153971412, 14453219, 109762470, 33459397]
[31297005, 54490622, 234779012, 62975425, 58718573, 113499629, 711472, 195935431, 241565204, 49379041]
[22619776, 15424767, 102941135, 61285663, 212578573, 228040875, 207888121, 2548984, 25302301, 183267053]
[28939697, 114464836, 89076961, 35693389, 237194139, 23466909, 123756118, 232497962, 78229932, 96444950]
[121975721, 42062284, 93893883, 4420759, 46004189, 144780964, 248183294, 186669470, 40715827, 227263317]
[121690776, 115201947, 136745825, 178417372, 107764572, 248009027, 142512266, 211421836, 238535437, 190084800]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 130432837, 193893252, 1446230, 175599337]
[82212583, 193617759, 234025706, 191404075, 129081823, 119423574, 116948579, 142392075, 112583388, 178546022]
[218542507, 210706211, 73665838, 242370252, 199101112, 242479614, 167086961, 192721231, 26612485, 50879515]
[54792871, 223562163, 178724447, 99504548, 56784500, 130892133, 146003756, 39470416, 170118912, 173461216]
[27154418, 153048969, 91021117, 108280964, 181681407, 227979769, 145502670, 220750386, 159957648, 197969050]
[213112826, 25516838, 8960197, 80019682, 108974184, 238793631, 148390383, 107277515, 34424590, 12500613]
[54792871, 223562163, 178724447, 99504548, 56784500, 130892133, 146003756, 39470416, 186200241, 226867068]
[245186357, 51214878, 45978248, 68718653, 95501463, 18237359, 135937542, 247044871, 122553906, 190886238]
[76710225, 167739046, 165438592, 16815147, 19314675, 67169327, 193129484, 210059566, 109714451, 74477322]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 97770307, 148322777, 40290812, 67591637]
[141361673, 162202163, 65247730, 57642163, 92658966, 203579434, 11108974, 10994948, 231797850, 226915862]
[204318514, 96260484, 124198569, 82290644, 146804374, 117498001, 230623437, 227354955, 59606938, 123629450]
[28939697, 123364048, 231894319, 163193455, 5948702, 240481288, 229831928, 18331143, 26977978, 76981136]
[211804832, 138574305, 94342188, 23325149, 239267654, 118729104, 228865952, 187106827, 207495597, 108787930]
[245186357, 104175749, 170891995, 92128647, 82767641, 56698018, 158137408, 185853241, 170928190, 46603042]
[76710225, 167739046, 165438592, 16815147, 19314675, 106889312, 181252962, 158958037, 161174928, 239372013]
[121690776, 115201947, 136745825, 178417372, 107764572, 248009027, 142512266, 211421836, 238535437, 105807160]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 53476114, 147945084, 240919194, 68614674]
[121690776, 115201947, 67731008, 121337576, 183825714, 191672079, 110635084, 51631603, 196629215, 54715702]
[28939697, 123364048, 231894319, 154778647, 193962753, 93622992, 210446393, 135192535, 155248190, 172414301]
[106261171, 44990710, 84180592, 123440078, 138510609, 109030444, 143459642, 170405019, 206927658, 23848623]
[8685447, 234393374, 146940291, 140624781, 246335260, 224481067, 14199053, 139543308, 161123568, 189479413]
[188932858, 115146698, 234256803, 209034558, 68471112, 79138923, 7178783, 197103336, 135376660, 138845287]
[152865647, 34304426, 62534149, 180961701, 202283163, 235692508, 75635935, 187830286, 241053509, 111900285]
[213112826, 25516838, 152287638, 114775498, 49141311, 136289887, 91659920, 165233418, 15927, 150937792]
[121690776, 115201947, 136745825, 178417372, 107764572, 248009027, 99422354, 174602702, 189216216, 228402250]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 229694818, 38381508, 38663895, 227842205]
[28939697, 123364048, 231894319, 163193455, 5948702, 240481288, 229831928, 18331143, 23422130, 65759411]
[245186357, 104175749, 170891995, 92128647, 82767641, 20692254, 68650779, 150055429, 23283450, 198901475]
[108906837, 199773189, 71402764, 29015971, 82406962, 227606238, 134560117, 236846284, 69303412, 212055907]
[204318514, 96260484, 124198569, 82290644, 227716861, 7485663, 234525365, 66411308, 242216527, 238097372]
[181938804, 60690532, 76340025, 79775124, 216604709, 145159642, 194131985, 190753789, 116329885, 156469]
[76710225, 167739046, 165438592, 117465674, 153838766, 76998540, 30643800, 91554837, 181979934, 165793253]
[112655291, 19209424, 78637201, 3582407, 3968327, 153564532, 210833957, 215061650, 228057209, 4505992]
[211510271, 40815467, 12295450, 74057130, 91055803, 224722603, 88958559, 217174569, 117536569, 215119914]
[245186357, 33815929, 81317813, 149728072, 110885945, 184034734, 207446103, 82487090, 212867765, 23307475]
