[239554898, 102907710, 132452821]
[152865647, 217823748, 113572629]
[24231581, 15527440, 39151893]
[42239749, 105866649, 174361624]
[220047070, 171574254, 218849336]
[154551859, 132819502, 112937289]
[245186357, 51214878, 45978248]
[92409577, 36859405, 163744403]
[181938804, 163199325, 211734849]
[106261171, 138199889, 91015303]
[141361673, 162202163, 196356233]
[204923669, 55371512, 103763109]
[233481409, 223580591, 100428466]
[90480851, 84672421, 120781503]
[141361673, 190697245, 163142798]
[154551859, 132819502, 6276547]
[239208748, 140345608, 11321520]
[205972194, 61946850, 32802042]
[42779529, 27928593, 225954198]
[150812197, 121922710, 124694152]
[86090961, 198884680, 183863614]
[121690776, 99657203, 237578674]
[170206712, 12111425, 193370944]
[210253789, 186269903, 83963274]
[243854923, 131996813, 143905498]
[8685447, 234393374, 146940291]
[173377106, 208385463, 241784845]
[205226715, 6410317, 156606069]
[121773903, 154727771, 239944377]
[205972194, 92870195, 23901377]
[192049153, 243314197, 202884183]
[106261171, 44990710, 84180592]
[86090961, 198884680, 34479806]
[225534006, 51753866, 37997147]
[219868898, 21390277, 239043661]
[166462820, 132071187, 221699968]
[27929889, 82163150, 44886673]
[202934950, 97398191, 103809490]
[171272310, 63221876, 221519298]
[140347209, 25798347, 224420618]
[106261171, 126184161, 170418784]
[169744084, 68986932, 107497996]
[118692768, 135569123, 179162329]
[205340485, 82942229, 20987358]
[99046567, 139422531, 215535354]
[128396256, 69852507, 197472092]
[218542507, 15545, 82329052]
[22619776, 109555255, 163654957]
[42779529, 27928593, 26032038]
[101060348, 149510120, 78999704]
[145423894, 46325335, 102214396]
[121975721, 14824860, 227395016]
[49431804, 24092436, 92023561]
[80803338, 160821069, 210061502]
[227085835, 146934373, 148571485]
[136301248, 173237109, 236047669]
[103795362, 77377293, 162264657]
[96578724, 13602607, 219462345]
[31306188, 77504286, 65644375]
[27154418, 2070364, 154566045]
[106213047, 138349628, 224400001]
[104933563, 21546646, 199216700]
[192049153, 243314197, 221079369]
[197930535, 234635560, 135700399]
[184452350, 76673988, 118948775]
[188932858, 5838940, 15692653]
[213112826, 25516838, 8960197]
[148907630, 26611378, 223997019]
[245186357, 104175749, 33955677]
[60417925, 159601639, 127365411]
[227085835, 146934373, 169087562]
[40401329, 133505597, 171377032]
[233262282, 231812234, 239226994]
[9953629, 27976225, 52313431]
[152760441, 41836273, 30896378]
[168408190, 86291210, 103171848]
[60417925, 70729437, 195152800]
[211316160, 37095821, 213065153]
[184452350, 117534910, 85483031]
[174915493, 112884756, 125718975]
[136301248, 129895494, 206898956]
[239393237, 164714934, 240019004]
[22619776, 15424767, 102941135]
[27929889, 82163150, 184177792]
[154023279, 69813054, 120222816]
[19175843, 71141250, 212004444]
[147630629, 151334426, 141540138]
[221615651, 43084408, 138087207]
[108906837, 199773189, 190953520]
[239393237, 197938988, 110381922]
[204923669, 50635880, 92038519]
[49986552, 151382489, 101485566]
[76832338, 137469819, 68844311]
[218542507, 210706211, 168501371]
[20649053, 57947421, 92836605]
[37206059, 139096211, 31799440]
[213112826, 31628092, 158921004]
[27929889, 82163150, 1003864]
[139255779, 168173206, 147377315]
[213662353, 24528257, 112394546]
[74869342, 30527162, 33520167]
[54986510, 243815304, 6818183]
