[139407978, 206633498, 21411166, 153971412, 14453219, 109762470, 33459397]
[106261171, 44990710, 84180592, 123440078, 138510609, 86977167, 108918444, 7013481, 168607997]
[245186357, 104175749, 170891995, 92128647, 82767641, 86769079, 224546669, 234090443, 139561951]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 47033771, 164119414, 151132133]
[28939697, 123364048, 231894319, 154778647, 193962753, 143903710, 31086791, 33867085, 79922395]
[76710225, 167739046, 165438592, 16815147, 121368087, 246677501, 171013612, 13098025, 236820155]
[28939697, 114464836, 89076961, 35693389, 237194139, 23466909, 153875672, 227102470, 49561540]
[245186357, 104175749, 170891995, 92128647, 82767641, 56698018, 239044916, 173555361, 27254380]
[245186357, 104175749, 170891995, 212154307, 48930371, 82990612, 240639531, 140069854, 76810877]
[31297005, 54490622, 234779012, 62975425, 58718573, 113499629, 711472, 209135121, 185955805]
[213112826, 25516838, 152287638, 114775498, 49141311, 136289887, 91659920, 165233418, 154052863]
[27154418, 2070364, 154566045, 21988525, 243869587, 149193960, 58561230, 74659683, 215884741]
[106261171, 126184161, 170418784, 140105318, 233056587, 120809932, 219278017, 100364192, 203054055]
[139255779, 91820978, 191620793, 47012473, 225750785, 34425498, 245899442, 155097321, 166665404]
[28939697, 123364048, 231894319, 163193455, 230091692, 37358558, 44026349, 43024521, 204249609]
[112655291, 19209424, 78637201, 3582407, 43920116, 14868510, 236887839, 78719667, 178752915]
[188932858, 115146698, 234256803, 209034558, 68471112, 9428764, 44959740, 51058373, 63593801]
[239554898, 105465088, 218365829, 203396497, 3343743, 180972551, 244611786, 243226302, 78387936]
[112655291, 19209424, 128847631, 19268358, 187186439, 72096518, 111426943, 123592718, 142746113]
[96343362, 100486110, 213236602, 24901115, 161745545, 163485936, 207999658, 153120315, 224150563]
[60417925, 159601639, 183311976, 179543640, 195441151, 208024229, 171994369, 210510030, 121974885]
[239554898, 105465088, 218365829, 203396497, 217698719, 109346344, 174986052, 136553142, 115464069]
[239393237, 164714934, 224904743, 27314302, 105058071, 113362181, 15531678, 107119989, 111700135]
[106261171, 126184161, 170418784, 140105318, 233056587, 120809932, 219278017, 100364192, 193044627]
[18782487, 180228062, 32306155, 8891987, 90798301, 83525893, 2923717, 195359054, 5093510]
[245186357, 104175749, 170891995, 212154307, 241205060, 93308425, 68617477, 41164939, 24790427]
[245186357, 51214878, 45978248, 195792955, 168729222, 58289814, 97299092, 46540, 232124372]
[245186357, 56476491, 21738255, 97185163, 175878122, 220599173, 47033771, 113963533, 33400583]
[169492383, 134805362, 104463455, 61755331, 66674404, 202015519, 162932185, 92329433, 167850486]
[121975721, 42062284, 19586029, 62150434, 204748696, 36212687, 147818594, 235976262, 124367174]
