[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 210052731]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 231113070]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 327364]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 47525300]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 75064016]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 92506462]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 11458115]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 194708460]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 101522797]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 143215526]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 36349940]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 60978225]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 244614138]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 104252093]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 209467731]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 79200646, 165198757]
[206045465, 237134557, 98501963, 193035196, 217614723, 95824616, 66295985]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 240102525]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 171485903]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 155210770]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 178853142]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 24700781]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 115995446]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 27556300, 213189716]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 158980925, 142885108]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 163171924]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 72219709]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 26788612]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 170495193, 9906209]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 58719608]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 187632573]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 63284468]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 233291688]
[93013133, 79078986, 20365635, 126967462, 229005668, 128260924, 248413189, 138916519]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 94966711, 231948682, 54447384]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 56596298, 208846531, 131728934]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752, 81844420, 82068604, 43460084]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335, 11451638, 205459756, 246098988]
