[206045465, 237134557, 98501963, 193035196, 217614723, 95824616]
[206045465, 237134557, 98501963, 193035196, 217614723, 162565787]
[206045465, 237134557, 98501963, 193035196, 7380439]
[206045465, 237134557, 98501963, 193035196, 217614723, 43505438]
[206045465, 237134557, 98501963, 193035196, 217614723, 155628122]
[206045465, 25751687, 125958478, 78296307, 75256724, 112355752]
[206045465, 237134557, 98501963, 193035196, 217614723, 33725908]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335]
[93013133, 79078986, 20365635, 126967462, 229005668]
[206045465, 25751687, 125958478, 194460356, 135388072, 167661549]
