[189558414, 165918446]
[204923669, 76676678]
[24846365, 15826856]
[54986510, 243815304]
[176832117, 16177437]
[20649053, 38514294]
[149858644, 59454347]
[163813705, 243210101]
[106261171, 124313093]
[10106479, 99839777]
[214018668, 83299561]
[224589236, 111204067]
[50332010, 235653470]
[19161165, 79144175]
[152865647, 217823748]
[118692768, 96103195]
[214466091, 35650223]
[139255779, 227786823]
[42779529, 94357672]
[27929889, 82163150]
[24623812, 151841575]
[92642016, 206871972]
[211804832, 131182141]
[230911772, 236055048]
[89417505, 172195248]
[214976764, 192509437]
[96578724, 13602607]
[95299563, 176320675]
[118348159, 96142024]
[8685447, 234393374]
[169313277, 113857410]
[175547192, 36313437]
[202934950, 97398191]
[139407978, 92142634]
[128396256, 77600076]
[22619776, 15424767]
[169744084, 194877969]
[239554898, 105465088]
[20195691, 76067494]
[239554898, 231847501]
[184029640, 241795741]
[245186357, 33815929]
[188932858, 200934080]
[121773903, 150308161]
[118692768, 135569123]
[139407978, 13422933]
[38248336, 193008474]
[204923669, 50635880]
[59717361, 134711651]
[233481409, 223580591]
[208230092, 214761888]
[140347209, 150723863]
[90480851, 54626283]
[224376413, 15682689]
[148907630, 162242982]
[160482675, 174482424]
[11002910, 71226924]
[10106479, 70087705]
[136301248, 178112656]
[117485685, 70641296]
[225534006, 51753866]
[117485685, 214511165]
[49431804, 246457812]
[89417505, 243171962]
[114104208, 221799532]
[204923669, 127519690]
[147630629, 81750284]
[194815188, 136510191]
[7000320, 6616045]
[213112826, 31628092]
[147518822, 3247038]
[139255779, 91820978]
[231488027, 32101784]
[136301248, 87052494]
[174915493, 134987011]
[58430490, 172895116]
[132487088, 222841995]
[74886713, 135486134]
[211510271, 46724623]
[28939697, 155234741]
[211510271, 200640855]
[121975721, 42062284]
[74329510, 39112394]
[47126416, 35555178]
[230911772, 149319629]
[184452350, 117534910]
[141361673, 162202163]
[167539219, 200713290]
[139407978, 28655380]
[82205394, 64233566]
[245186357, 56476491]
[90480851, 84672421]
[216146863, 154355536]
[163813705, 132076665]
[128396256, 156921189]
[118348159, 41843502]
[80017818, 241088100]
[25001273, 6626874]
[239393237, 164714934]
[28779114, 129128005]
[19175843, 71141250]
[154023279, 92392996]
[79009743, 220218071]
[205972194, 92870195]
[137346633, 120630153]
[160482675, 157441112]
[80810737, 60516862]
[87496049, 100083120]
[208840857, 72799510]
[12733949, 207216632]
[126502198, 215249747]
[23593792, 205572457]
[82212583, 193617759]
[136301248, 231431900]
[58203596, 66805226]
[167760064, 204843996]
[81340269, 181730026]
[117485685, 247239338]
[139255779, 148161601]
[224589236, 84806013]
[244452499, 42604828]
[155906635, 105159978]
[227085835, 146934373]
[152760441, 41836273]
[239393237, 245592069]
[9953629, 20319404]
[213112826, 25516838]
[177119877, 103053215]
[83435517, 225467304]
[168408190, 86291210]
[184452350, 102640177]
[107757587, 58700884]
[169313277, 175431830]
[226583776, 127890130]
