[239554898, 102907710, 132452821]
[131161949, 182719904, 31830738, 69801586]
[121773903, 150308161, 238948544, 19896960]
[169744084, 68986932, 107497996, 13021307]
[126015619, 3034421, 7944536, 184387174]
[54792871, 223562163, 178724447, 230072230]
[12733949, 207216632, 12654359, 75798012]
[25001273, 207839760, 96717700, 177496026]
[19822928, 59458312, 73032326, 114354517]
[115917063, 218112142, 206915769, 196602570]
[174915493, 120643602, 47576843, 48228444]
[220047070, 171574254, 69326246, 88494169]
[19822928, 59458312, 73032326, 57987817]
[173377106, 79340372, 96841640, 221798682]
[189558414, 165918446, 220632356]
[169313277, 9510243, 54726766, 82023249]
[63174497, 133172007, 24939800, 104096049]
[162649472, 196857788, 94240583, 173336712]
[175547192, 36313437, 106487148, 88546569]
[192049153, 243314197, 202884183, 154484940]
[181296040, 94487627, 6585055, 134690316]
[205226715, 6410317, 33411996, 94485504]
[84732876, 229889095, 57651566, 137162822]
[112655291, 19209424, 78637201, 230232840]
[112655291, 19209424, 78637201, 33820469]
[169492383, 134805362, 204695085, 69046670]
[10106479, 190143267, 242876210, 233860338]
[214976764, 232135327, 176113184, 44789466]
[59461186, 189110064, 3408823, 82583587]
[10106479, 48368057, 101287106, 26525935]
[49431804, 239753856, 105078153, 141990906]
[121975721, 14824860, 77298143, 406249]
[233365345, 69179940, 12485674, 105645437]
[60290327, 187049375, 215165448, 178765384]
[167539219, 192052900, 155852712, 149499948]
[121975721, 14824860, 80600832, 147179256]
[139407978, 30753859, 146083603, 244747749]
[23593792, 95119995, 144724001, 46297756]
[20621167, 160721844, 173077110, 138918252]
[228705482, 162198097, 43176297, 63320863]
[10971906, 85868500, 2278037, 49030679]
[106335033, 130372207, 30533253, 119278666]
[199976190, 56628013, 175571629, 169114502]
[136301248, 173237109, 136774588, 2759271]
[113599894, 57047357, 202990612, 137238413]
[177119877, 208669082, 36832427, 18332556]
[121975721, 107116936, 187684362, 182190512]
[173377106, 227979404, 55409189, 243336653]
[20975483, 40976009, 116694128, 19704203]
[139255779, 117323211, 86191772, 224651056]
[152865647, 34304426, 142969536, 142498073]
[173377106, 79340372, 162673161, 62394678]
[88331270, 202267763, 186361529, 202440367]
[211316160, 37095821, 218824995, 161132275]
[199976190, 80403497, 62774750, 16168011]
[20195691, 248537501, 190763261, 178626801]
[60290327, 187049375, 215165448, 139721970]
[233262282, 87811742, 202006393, 87780964]
[18782487, 203178984, 242969855, 5772112]
[99697683, 45418046, 128029953, 238676459]
[19822928, 44523569, 203249852, 139788337]
[72760936, 12731821, 222657192, 118794566]
[140347209, 95659942, 123313652, 21736273]
[46100675, 180066968, 148279887, 32430244]
[102042198, 246277992, 134192095, 83050111]
[154023279, 229367198, 58448022, 195780709]
[74329510, 39112394, 143983921, 199307397]
[202536968, 98935436, 203276203, 135711051]
[148907630, 26611378, 223997019, 78329832]
[189558414, 165918446, 156750005]
[22619776, 109555255, 199440713, 33371517]
[183340201, 189313754, 171136531, 63943460]
[140347209, 95659942, 123313652, 242597208]
[82205394, 222031531, 160041579, 77882998]
[20975483, 21156051, 161360286, 99656524]
[28939697, 83720688, 206122823, 229232565]
[147518822, 122122603, 180735643, 233215416]
[19161165, 79144175, 167165628, 115088754]
[108304558, 205317970, 20673001, 238083326]
[60417925, 159601639, 113265839, 147289359]
[104652219, 82118766, 137608903, 63065660]
[28939697, 123364048, 231894319, 241512156]
[60417925, 190170276, 95151468, 107000341]
[32676012, 43798277, 32284419, 26635731]
[147518822, 122122603, 139867447, 199555902]
[240973929, 83532539, 32527346, 120930986]
[121975721, 107116936, 187684362, 58170293]
[204923669, 241002532, 207479341, 246870864]
[112000692, 137625108, 152026346, 109615451]
[108304558, 205317970, 10524905, 89944828]
[170206712, 12111425, 214226545, 45965088]
[218542507, 27686776, 57877320, 242250743]
[173932799, 86115254, 157979992, 9034355]
[167539219, 200713290, 179272306, 103553126]
[13886713, 84410896, 181230399, 29616640]
[90480851, 82849463, 92684410, 101874195]
[22619776, 25028571, 123701493, 139948914]
[243714234, 117825797, 232941373, 101570906]
[31297005, 54490622, 172983530, 146939592]
[9953629, 20319404, 24804670, 186510514]
[169717436, 247028421, 155505058, 142327211]
[71126603, 195320975, 97740814, 75569141]
[16408393, 153037207, 171574927, 172492568]
[19161165, 79144175, 110037532, 157220105]
[236794042, 165328491, 166919791, 248622065]
[112655291, 19209424, 78637201, 32578936]
[85998254, 248045083, 240040489, 53214919]
[88279509, 60221365, 174908145, 238475355]
[113599894, 61369480, 194107823, 19344877]
[32676012, 43798277, 111181810, 71719656]
[181938804, 60690532, 76340025, 132436869]
[113588501, 150903877, 15899272, 30476594]
[239208748, 140345608, 11321520, 88122271]
[85279524, 9931594, 23855659, 245841058]
[176878569, 125470079, 108529963, 22698384]
[141361673, 162202163, 65247730, 113738088]
[106261171, 126184161, 158442460, 135365713]
[115889120, 99949980, 241234268, 123649176]
[150812197, 207907728, 45493282, 168636907]
[112655291, 19209424, 208223836, 115226462]
[218922006, 139790624, 47207530, 203879859]
[102428331, 177733082, 77412540, 97937260]
[211804832, 156354737, 233635579, 237749147]
[213112826, 31628092, 158921004, 198847599]
[115917063, 218112142, 206915769, 195206310]
[240322167, 86612572, 64699076, 116295220]
[211510271, 200640855, 93455200, 186277338]
[213579804, 244349371, 47580151, 67066356]
[13886713, 25432361, 2786859, 35924160]
[133122770, 110032371, 27455513, 247634258]
[171272310, 63221876, 221519298, 78224677]
[154551859, 132819502, 6276547, 62459508]
[245186357, 33815929, 173663102, 28237412]
[205340485, 82942229, 42405734, 235720916]
[233365345, 69179940, 21038035, 43800821]
[176878569, 125470079, 108529963, 93510569]
[214976764, 232135327, 176113184, 236599346]
[25001273, 6626874, 1693836, 106567516]
[88279509, 5668991, 25794088, 52030951]
[20649053, 38514294, 51410810, 98619222]
[21720706, 134383314, 48751401, 229952616]
[174915493, 246844864, 162468391, 243513689]
[24231581, 15527440, 143956946, 204243571]
[226583776, 127890130, 155550477, 200944749]
[211510271, 40815467, 61774155, 118320827]
[176878569, 107188144, 95985101, 18727885]
[154551859, 47812082, 16349031, 124218663]
[243714234, 117825797, 232941373, 148159485]
[121690776, 115201947, 136745825, 113493615]
[188932858, 115146698, 234256803, 86348296]
[9953629, 20319404, 119777588, 1438852]
[188932858, 122049085, 88071880, 106429753]
[13109669, 214844984, 195175909, 33006908]
[185021265, 120449815, 33146577, 199424722]
[96343362, 100486110, 207436691, 152306764]
[233481409, 223580591, 120097124, 229196208]
[64151556, 214470560, 42608089, 106015746]
[88797558, 237884803, 95513456, 96661570]
[20195691, 248537501, 179640856, 140801515]
[22619776, 37360844, 94210235, 80041757]
[223787457, 102279757, 212932675, 153447447]
[139407978, 13422933, 168235173, 92308454]
[20195691, 76067494, 114991732, 55582427]
[239679406, 25346579, 66525943, 51672491]
[121975721, 42062284, 205720792, 243973463]
[224589236, 188349347, 138604477, 203935976]
[64151556, 161405250, 75649344, 116934193]
[76832338, 137469819, 68844311, 205714096]
[155906635, 180949973, 18837139, 162180083]
[70079855, 233096751, 143763831, 115906166]
[75857740, 82351932, 215992635, 3704331]
[123585542, 70375513, 101699000, 202358625]
[162374829, 40832358, 210795599, 8705865]
[210253789, 186269903, 128671441, 239824683]
[59717361, 134711651, 229653947, 188268411]
[197930535, 234635560, 135700399, 44896603]
[218922006, 196129795, 231219332, 77827056]
[113599894, 61369480, 194107823, 146784738]
[139255779, 10547589, 17697623, 111518650]
[42779529, 94357672, 139610103, 248586955]
[18782487, 203178984, 219329932, 39818022]
[147518822, 153639160, 53392171, 238396821]
[139255779, 117323211, 86191772, 75266315]
[49431804, 246457812, 177362205, 164339546]
[139407978, 206633498, 21411166]
[176878569, 103162700, 241926563, 161105534]
