[23352730, 119400816, 86172609, 205958532]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 76217077]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 4492864]
[23352730, 119400816, 86172609, 205958532, 191249695]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 135192204]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 242719789]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 75639200]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 244027303]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 200157253]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 230774900]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 232946021]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 14255351]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 99273865]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 61840733]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 10179207]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 78554791]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 211542310]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 205348961]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 186314774]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 169734409]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 2702230]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 87869864]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 195118713]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 113440268]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 241764363]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 16391386]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 246186421]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 137140569]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 68561132]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 179786103]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 242971378]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 135038146]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 116449341]
[23352730, 119400816, 86172609, 205958532, 22737486]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 61847059]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 115070971]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 55059253]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 169417233]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 98126411]
[23352730, 176157657, 145969510, 246293864, 201862725, 206116010, 61109801, 180071194]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 14390403]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 225006502]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 23657537]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 80877604]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 93524629]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 27078123, 236373330]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 63727624]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 34909098]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 162683001]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 63728548]
[23352730, 119400816, 86172609, 205958532, 126299902]
[23352730, 119400816, 86172609, 205958532, 148799701, 194570982, 16291857, 60886342]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 151436089]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 195226482]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 41140934]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 189579606]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 113524914]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 115902365]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 46630747]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 71073194]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 174755675]
[23352730, 176157657, 145969510, 246293864, 104383446, 47297153, 160752691, 36782904]
[23352730, 119400816, 86172609, 205958532, 50423933]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 231948639]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 160627129]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 223868230]
[23352730, 119400816, 86172609, 205958532, 175782186]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 36414844]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 237004033]
[23352730, 176157657, 145969510, 246293864, 201862725, 68137164, 179974900, 54592101]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 157662596]
[23352730, 119400816, 86172609, 205958532, 12689819, 2401832, 66746228]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 20703880]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 136462526, 23337203]
[23352730, 176157657, 145969510, 246293864, 201862725, 24667785, 172634372, 96024706]
[23352730, 176157657, 145969510, 219043633, 51510763, 75533114, 113600681, 33901715]
