[204923669, 50635880, 156536157, 126285967, 21834830, 180576998, 75185841]
[82212583, 193617759, 234025706, 196862795, 8436367, 66950703, 47274873]
[239554898, 102907710, 132452821, 124460660, 126077318, 106213186, 35829210]
[108906837, 199773189, 190953520, 63193029, 178919610, 244119274, 179314630]
[148907630, 143141347, 51124938, 61812059, 158106868, 224098540, 129702038]
[205972194, 86177255, 137657541, 78628145, 208263423, 155631495, 202088978]
[211316160, 37095821, 218824995, 2668282, 69308388, 7611215, 230270253]
[112655291, 19209424, 128847631, 39081452, 152362368, 77890002, 134353624]
[131161949, 182719904, 31830738, 163263028, 89837460, 216417565, 13508063]
[75857740, 82351932, 215992635, 214948612, 190339224, 184327459, 59124616]
[205972194, 61946850, 217597649, 241053092, 63709074, 131080152, 193780058]
[22619776, 15424767, 102941135, 61285663, 96312587, 111443785, 47244643]
[184452350, 117534910, 85483031, 226603022, 32217485, 198350419, 161517701]
[245186357, 179224212, 177971497, 122788728, 120240893, 11475239, 163924075]
[141361673, 162202163, 65247730, 57642163, 92658966, 73828899, 127045009]
[177119877, 214819640, 128621318, 58882810, 43671752, 226531916, 34969733]
[167539219, 192052900, 236091323, 232494744, 185999343, 121574567, 239636399]
[245186357, 104175749, 170891995, 212154307, 48930371, 147258838, 153837408]
[108906837, 199773189, 190953520, 234574556, 44085690, 30167291, 76100093]
[139255779, 117323211, 186374400, 7935869, 207928118, 103534235, 185677513]
[49986552, 151382489, 61990312, 150003870, 823073, 76054966, 20155528]
[32676012, 195138918, 178653906, 248285279, 227104177, 68561784, 97370335]
[139255779, 117323211, 86191772, 82525022, 242989718, 164457399, 197774702]
[117485685, 247239338, 58098803, 157858273, 62163854, 65760436, 197573113]
[167539219, 192052900, 155852712, 6691973, 11106508, 179534136, 166976863]
[72760936, 3767875, 33619245, 132662969, 42248108, 54682127, 212542891]
[213112826, 25516838, 105566614, 57004010, 81209129, 144634590, 73315046]
[189558414, 165918446, 240176469, 152623937, 7814976, 79398008, 14815283]
[169492383, 134805362, 204695085, 79691146, 204303251, 99743646, 141904935]
[245186357, 104175749, 170891995, 212154307, 241205060, 93308425, 57956812]
[139255779, 117323211, 86191772, 224651056, 132371457, 206053611, 134787231]
[245186357, 179224212, 177971497, 122788728, 120240893, 156194464, 33716179]
[197930535, 234635560, 135700399, 74886964, 85611756, 61721748, 48420563]
[167539219, 192052900, 155852712, 211348323, 132577636, 86947648, 130432837]
[181938804, 163199325, 33540865, 189273694, 119119372, 14615635, 117573760]
[240973929, 83532539, 32527346, 120930986, 180608117, 196195426, 149197989]
[148907630, 26611378, 193025159, 174146668, 98828830, 91190696, 170476984]
[74329510, 124765354, 49009538, 121122981, 200777138, 84966317, 164660846]
[169313277, 9510243, 54726766, 82023249, 180063763, 119146584, 53258109]
[47163196, 31168336, 60807112, 55723275, 83762939, 172812114, 144504705]
[28939697, 123364048, 231894319, 154778647, 193962753, 93622992, 176234537]
