[189558414, 165918446]
[184452350, 102640177, 18849641]
[97733179, 71749796, 88747571]
[174915493, 109111730, 109202255]
[10106479, 70087705, 132941558]
[184794556, 216242527, 181270809]
[154551859, 47812082, 141039700]
[108304558, 39313408, 46072149]
[136727690, 26278986, 61933133]
[24231581, 15527440, 39151893]
[104933563, 21546646, 244811926]
[121690776, 115201947, 105207819]
[226962391, 39232694, 201359453]
[230911772, 190094319, 161259525]
[155939215, 236852020, 23681962]
[116313481, 65756171, 117585242]
[42239749, 105866649, 174361624]
[139255779, 168173206, 170449927]
[161928706, 114233017, 71064734]
[188932858, 122049085, 34583526]
[220047070, 171574254, 218849336]
[220463203, 215679129, 129331861]
[113588501, 150903877, 197286093]
[128396256, 156921189, 134708185]
[154551859, 132819502, 112937289]
[245186357, 51214878, 45978248]
[181938804, 163199325, 211734849]
[102042198, 246277992, 170973250]
[172696320, 32584832, 180931039]
[113588501, 235482425, 236230947]
[218542507, 27686776, 24999556]
[106261171, 138199889, 91015303]
[104573498, 121415770, 132447536]
[167355494, 148358260, 187516169]
[205226715, 6410317, 84517239]
[108304558, 21000924, 141607528]
[84520636, 109802059, 47182116]
[138303920, 231655971, 206130217]
[173932799, 86115254, 89522420]
[169492383, 26111971, 20563257]
[20649053, 159297347, 65516295]
[115917063, 113950444, 66905074]
[87496049, 100083120, 18976490]
[161888310, 59938753, 31602494]
[141361673, 162202163, 196356233]
[80765703, 141535867, 46325226]
[20649053, 38514294, 54378326]
[162649472, 196857788, 199846600]
[163042645, 87527887, 77239682]
[27082448, 54456177, 12414663]
[213662353, 24528257, 234894577]
[72760936, 3767875, 136620653]
[228705482, 152868009, 195313455]
[90003289, 200663835, 213288031]
[133122770, 43283876, 168105562]
[244452499, 136961383, 2253854]
[72760936, 1751683, 127498363]
[155770077, 30143622, 44200190]
[211316160, 37095821, 194136308]
[212693721, 210342764, 71201369]
[210253789, 186269903, 98499456]
[188932858, 122049085, 60400880]
[173651877, 69134606, 91379430]
[177119877, 56057035, 238642751]
[242767556, 223313203, 127214669]
[106261171, 44990710, 214697151]
[169313277, 113857410, 103364386]
[106335033, 136435540, 6130448]
[60290327, 111591637, 84849050]
[137346633, 120630153, 155211337]
[106335033, 130372207, 167952874]
[46100675, 222867026, 179858083]
[117422950, 236487046, 125450626]
[177119877, 2276120, 115779589]
[182613668, 130660602, 14377452]
[50332010, 235653470, 238289836]
[9953629, 20319404, 147020960]
[161004947, 183664940, 125207517]
[183179259, 221400958, 55898421]
[204923669, 55371512, 103763109]
[231317122, 157627508, 99879051]
[76562561, 138713893, 110266732]
[79009743, 220218071, 142382315]
[23593792, 205572457, 139200741]
[68651624, 106338614, 51514979]
[233481409, 223580591, 100428466]
[55808678, 42425852, 182146050]
[199976190, 40927225, 232588467]
[90480851, 84672421, 120781503]
[188932858, 115146698, 66419013]
[141361673, 190697245, 163142798]
[154551859, 132819502, 6276547]
[239208748, 140345608, 11321520]
[205972194, 61946850, 32802042]
[169717436, 247028421, 52355037]
[28939697, 123364048, 205568482]
[216146863, 154355536, 245278421]
[233262282, 87811742, 60503763]
[123465332, 106382318, 122566563]
[152051790, 234808695, 32805547]
[169717436, 38933966, 180750205]
[244452499, 148250918, 218117350]
[43279741, 61942618, 244428838]
[226962391, 31054327, 181504154]
[42779529, 27928593, 225954198]
[113075252, 2913513, 32983052]
[164878588, 229867315, 187326806]
[106335033, 211418663, 35499318]
[59461186, 177985189, 96465473]
[59461186, 177985189, 59959868]
[71871323, 188768902, 88527876]
[117485685, 70641296, 118495690]
[164878588, 180251660, 214380008]
[210253789, 186269903, 89701654]
[72760936, 13796885, 52646661]
[149858644, 36004152, 72490128]
[89417505, 172195248, 180626568]
[150812197, 121922710, 124694152]
[167030917, 87573310, 211988921]
[188932858, 115146698, 108313806]
[188932858, 5838940, 213483487]
[170136299, 240379569, 69911282]
[185689250, 229926954, 213849954]
[35552242, 240578518, 163156176]
[171220024, 136130465, 213539251]
[205407009, 221138610, 172615789]
[80803338, 160821069, 91153451]
[219868898, 21390277, 228090924]
[67615727, 235010115, 56099936]
[31306188, 77504286, 147722282]
[204949767, 160560165, 89974804]
[239208748, 127549583, 47077967]
[133122770, 47323599, 82992609]
[147630629, 151334426, 71559149]
[112000692, 229166300, 188276366]
[154023279, 92392996, 119860940]
[108304558, 141444190, 68754483]
[113599894, 61369480, 222683819]
[123585542, 70375513, 127104790]
[226962391, 159214288, 165294870]
[211316160, 65884239, 162736468]
[86090961, 198884680, 183863614]
[220463203, 184655377, 195325049]
[190568229, 125161204, 133328920]
[64151556, 126709417, 37000358]
[113599894, 61369480, 6252688]
[185689250, 29322618, 194278163]
[8912603, 94169358, 38104854]
[177119877, 56057035, 113458240]
[192049153, 243314197, 213136576]
[90480851, 82849463, 92684410]
[193806968, 470386, 79655298]
[131161949, 144682912, 224089241]
[121690776, 99657203, 237578674]
[228705482, 162198097, 216598809]
[139255779, 10547589, 110158919]
[181938804, 60690532, 84578261]
[101060348, 29009587, 125515932]
[244685538, 92361093, 143738056]
[118348159, 41843502, 46216308]
[155770077, 155633713, 43940189]
[125742946, 109111893, 203714963]
[170206712, 86693755, 248886950]
[32676012, 4730698, 31795388]
[220463203, 215679129, 149062929]
[23310579, 202611236, 236216206]
[210253789, 186269903, 9592990]
[74329510, 124765354, 206785171]
[103795362, 159704805, 149478398]
