[239554898, 102907710, 132452821]
[227085835, 146934373, 148571485, 58985340, 177381399, 233310936]
[211804832, 103588449, 187930436, 30070197, 81594597, 187942899]
[24231581, 15527440, 39151893, 166928330, 114300948, 186847575]
[140347209, 25798347, 4746789, 4938993, 197632766, 128417384]
[10379212, 12391743, 5269103, 90783180, 38946337, 83781670]
[214018668, 83299561, 183713552, 192973470, 62273360, 160741179]
[22619776, 15424767, 239664794, 38863699, 238141909, 184737995]
[205226715, 6410317, 156606069, 650760, 246643247, 189004854]
[181938804, 60690532, 76340025, 132436869, 12389413, 119057557]
[245186357, 51214878, 85245345, 25727633, 248054215, 150438907]
[63174497, 133172007, 24939800, 84590400, 161909044, 103339820]
[82205394, 222031531, 97617751, 152489962, 38611086, 234780097]
[106261171, 44990710, 84180592, 123440078, 231497981, 96232101]
[80810737, 179338136, 62663263, 47467154, 129845062, 198247922]
[82212583, 193617759, 234025706, 196862795, 8436367, 66950703]
[211510271, 46724623, 74610054, 134915134, 156470568, 189749706]
[116640107, 175919948, 230396891, 219625776, 144804450, 138784068]
[42779529, 94357672, 139610103, 22257387, 84057906, 105791033]
[245186357, 51214878, 85245345, 25727633, 248054215, 96850748]
[202934950, 176470526, 50794561, 147033937, 56991176, 118308400]
[167539219, 192052900, 155852712, 6691973, 11106508, 109107487]
[124619536, 212270092, 18763595, 47127520, 104250972, 16377392]
[32676012, 195138918, 178653906, 248285279, 97923125, 45197980]
[121773903, 154727771, 23179543, 60928386, 112637192, 168805741]
[18782487, 180228062, 32306155, 8891987, 156471202, 68766933]
[124619536, 212270092, 18763595, 244699193, 20614614, 103395194]
[113588501, 150903877, 100861363, 41353743, 81144583, 211811907]
[195122300, 8092110, 93657706, 99431903, 106994832, 58405025]
[10106479, 48368057, 101287106, 26137914, 37677254, 125491572]
[160482675, 152741116, 87144591, 29182543, 86902180, 23705205]
[121975721, 14824860, 80600832, 160653964, 107594959, 190485557]
[85279524, 136537575, 155460341, 188384255, 102843193, 28200349]
[214976764, 232135327, 176113184, 89104064, 116885512, 781997]
[42779529, 94357672, 222611044, 160319561, 210931271, 73332930]
[60417925, 70729437, 195152800, 175899869, 195085185, 122302595]
[184452350, 117534910, 86206692, 212275701, 208750326, 193167201]
[128396256, 156921189, 237060631, 191130671, 154624531, 128928417]
[243854923, 131996813, 143905498, 165837514, 82942815, 222433195]
[184452350, 117534910, 86206692, 212275701, 208750326, 226921267]
[149858644, 196436553, 114644864, 171005239, 21544620, 42434958]
[227085835, 146934373, 148571485, 58985340, 177381399, 146971027]
